sira,desil,bag_id,footprint_area_m2,bouwjaar,h_measured_m,roof_p70_z_nap_m,ground_z_nap_m,roof_span_m,building_class_ratio,class6_points,ground_ring_points,KAT_SAYISI_kullanici,NOT_kullanici,kat_yuksekligi_m
1,1,0503100000023497,61.37,1969,3.200,3.050,-0.150,0.000,0.9559,1993,3703,,,
2,2,0503100000018892,52.30,1966,5.800,4.350,-1.450,0.100,0.9516,1358,2645,,,
3,3,0503100000019104,52.64,1966,5.800,4.350,-1.450,0.000,0.9618,1309,2379,,,
4,4,0503100000018905,68.54,1966,5.900,4.350,-1.550,0.000,0.9470,1733,2564,,,
5,5,0503100000018987,52.41,1966,5.900,4.350,-1.550,0.000,0.9414,1350,2604,,,
6,6,0503100000019105,52.62,1966,6.000,4.350,-1.650,0.000,0.9502,1298,2402,,,
7,7,0503100000026852,60.07,1965,8.000,6.850,-1.150,0.100,0.9674,2523,2724,,,
8,8,0503100000001547,53.37,1969,8.500,6.950,-1.550,0.000,0.9621,4574,5116,,,
9,9,0503100000010265,53.37,1969,8.500,6.950,-1.550,0.000,0.9662,4628,4769,,,
10,10,0503100000019296,301.76,1971,36.800,35.350,-1.450,0.100,0.5507,12037,6202,,,
